"","stationName","latitude","longitude","stAddress1"
"154","Fulton St & Clermont Ave","40.68415748","-73.96922273","Fulton St & Clermont Ave"
"155","Atlantic Ave & Furman St","40.69165183","-73.9999786","Atlantic Ave & Furman St"
"156","Lafayette Ave & St James Pl","40.68851534","-73.9647628","Lafayette Ave & St James Pl"
"157","Pitt St & Stanton St","40.71926081","-73.98178024","Pitt St & Stanton St"
"158","Allen St & Rivington St","40.72019576","-73.98997825","Allen St & Rivington St"
"159","E 2 St & 2 Ave","40.72502876","-73.99069656","E 2 St & 2 Ave"
"160","Washington St & Gansevoort St","40.739323","-74.008119","Washington St & Gansevoort St"
"161","Hicks St & Montague St","40.69512845","-73.99595065","Hicks St & Montague St"
"162","Henry St & Poplar St","40.700469","-73.991454","Henry St & Poplar St"
"163","Market St & Cherry St","40.71076228","-73.99400398","Market St & Cherry St"
"164","DeKalb Ave & Skillman St","40.6906495","-73.95643107","DeKalb Ave & Skillman St"
"165","Suffolk St & Stanton St","40.72066442","-73.98517977","Suffolk St & Stanton St"
"166","E 6 St & Avenue D","40.72228087","-73.97668709","E 6 St & Avenue D"
"167","Forsyth St & Canal St","40.7158155","-73.99422366","Forsyth St & Canal St"
"168","Pearl St & Anchorage Pl","40.70281858","-73.98765762","Pearl St & Anchorage Pl"
"169","Pearl St & Hanover Square","40.7047177","-74.00926027","Pearl St & Hanover Square"
"170","Cumberland St & Lafayette Ave","40.68753406","-73.97265183","Cumberland St & Lafayette Ave"
"171","Barclay St & Church St","40.71291224","-74.01020234","Barclay St & Church St"
"172","Front St & Gold St","40.70224","-73.982578","Front St & Gold St"
"173","Carlton Ave & Park Ave","40.69580705","-73.97355569","Carlton Ave & Park Ave"
"174","Clermont Ave & Lafayette Ave","40.68764484","-73.96968902","Clermont Ave & Lafayette Ave"
"175","Clermont Ave & Park Ave","40.69573398","-73.97129668","Clermont Ave & Park Ave"
"176","W 59 St & 10 Ave","40.770513","-73.988038","W 59 St & 10 Ave"
"177","W 54 St & 9 Ave","40.76584941","-73.98690506","W 54 St & 9 Ave"
"178","West St & Chambers St","40.71754834","-74.01322069","West St & Chambers St"
"179","Bus Slip & State St","40.701907","-74.013942","Bus Slip & State St"
"180","E 7 St & Avenue A","40.72621788","-73.98379855","E 7 St & Avenue A"
"181","W 21 St & 6 Ave","40.74173969","-73.99415556","W 21 St & 6 Ave"
"182","Hancock St & Bedford Ave","40.68216564","-73.95399026","Hancock St & Bedford Ave"
"183","Macon St & Nostrand Ave","40.6809833854","-73.9500479759","Macon St & Nostrand Ave"
"184","St Marks Pl & 1 Ave","40.72779126","-73.98564945","St Marks Pl & 1 Ave"
"185","E 4 St & 2 Ave","40.7262807","-73.98978041","E 4 St & 2 Ave"
"186","E 45 St & 3 Ave","40.75255434","-73.97282625","E 45 St & 3 Ave"
"187","E 52 St & 2 Ave","40.756014","-73.967416","E 52 St & 2 Ave"
"188","W 27 St & 7 Ave","40.746647","-73.993915","W 27 St & 7 Ave"
"189","Bedford Ave & S 9 St","40.70853074","-73.96408963","Bedford Ave & S 9 St"
"190","E 10 St & Avenue A","40.72740794","-73.98142006","E 10 St & Avenue A"
"191","W 24 St & 7 Ave","40.74487634","-73.99529885","W 24 St & 7 Ave"
"192","8 Ave & W 52 St","40.76370739","-73.9851615","8 Ave & W 52 St"
"193","W 37 St & 10 Ave","40.75660359","-73.9979009","W 37 St & 10 Ave"
"194","W 49 St & 8 Ave","40.76227205","-73.98788205","W 49 St & 8 Ave"
"195","W 22 St & 8 Ave","40.74475148","-73.99915362","W 22 St & 8 Ave"
"196","E 51 St & 1 Ave","40.75455731","-73.96592976","E 51 St & 1 Ave"
"197","1 Ave & E 44 St","40.75001986","-73.96905301","1 Ave & E 44 St"
"198","E 53 St & Madison Ave","40.7597108","-73.97402311","E 53 St & Madison Ave"
"199","11 Ave & W 27 St","40.751396","-74.005226","11 Ave & W 27 St"
"200","W 20 St & 11 Ave","40.746745","-74.007756","W 20 St & 11 Ave"
"201","S 4 St & Wythe Ave","40.71285887","-73.96590294","S 4 St & Wythe Ave"
"202","E 20 St & 2 Ave","40.73587678","-73.98205027","E 20 St & 2 Ave"
"203","W 22 St & 10 Ave","40.74691959","-74.00451887","W 22 St & 10 Ave"
"204","Broadway & W 41 St","40.75513557","-73.98658032","Broadway & W 41 St"
"205","W 25 St & 6 Ave","40.74395411","-73.99144871","W 25 St & 6 Ave"
"206","Dean St & 4 Ave","40.68312489","-73.97895137","Dean St & 4 Ave"
"207","Broadway & W 56 St","40.7652654","-73.98192338","Broadway & W 56 St"
"208","Broadway & W 53 St","40.76344058","-73.98268129","Broadway & W 53 St"
"209","W 20 St & 8 Ave","40.74345335","-74.00004031","W 20 St & 8 Ave"
"210","Grand St & Havemeyer St","40.71286844","-73.95698119","Grand St & Havemeyer St"
"211","E 32 St & Park Ave","40.7457121","-73.98194829","E 32 St & Park Ave"
"212","Rivington St & Chrystie St","40.72110063","-73.9919254","Rivington St & Chrystie St"
"213","5 Ave & E 29 St","40.7451677","-73.98683077","5 Ave & E 29 St"
"214","E 31 St & 3 Ave","40.74394314","-73.97966069","E 31 St & 3 Ave"
"215","W 41 St & 8 Ave","40.75640548","-73.9900262","W 41 St & 8 Ave"
"216","11 Ave & W 41 St","40.76030096","-73.99884222","11 Ave & W 41 St"
"217","9 Ave & W 45 St","40.76019252","-73.9912551","9 Ave & W 45 St"
"218","W 53 St & 10 Ave","40.76669671","-73.99061728","W 53 St & 10 Ave"
"219","S 3 St & Bedford Ave","40.71260486","-73.96264403","S 3 St & Bedford Ave"
"220","W 15 St & 7 Ave","40.73935542","-73.99931783","W 15 St & 7 Ave"
"221","E 12 St & 3 Ave","40.73223272","-73.98889957","E 12 St & 3 Ave"
"222","W 44 St & 5 Ave","40.75500254","-73.98014437","W 44 St & 5 Ave"
"223","W 37 St & 5 Ave","40.75038009","-73.98338988","W 37 St & 5 Ave"
"224","Broadway & W 29 St","40.7462009","-73.98855723","Broadway & W 29 St"
"225","E 20 St & FDR Drive","40.73314259","-73.97573881","E 20 St & FDR Drive"
"226","8 Ave & W 33 St","40.751551","-73.993934","8 Ave & W 33 St"
"227","E 24 St & Park Ave S","40.74096374","-73.98602213","E 24 St & Park Ave S"
"228","W 33 St & 7 Ave","40.75019995","-73.99093085","W 33 St & 7 Ave"
"229","W 45 St & 6 Ave","40.7568001","-73.98291153","W 45 St & 6 Ave"
"230","W 26 St & 8 Ave","40.74734825","-73.99723551","W 26 St & 8 Ave"
"231","W 47 St & 10 Ave","40.76269882","-73.99301222","W 47 St & 10 Ave"
"232","E 16 St & 5 Ave","40.73726186","-73.99238967","E 16 St & 5 Ave"
"233","E 17 St & Broadway","40.73704984","-73.99009296","E 17 St & Broadway"
"234","Broadway & W 32 St","40.74854862","-73.98808416","Broadway & W 32 St"
"235","Broadway & W 60 St","40.76915505","-73.98191841","Broadway & W 60 St"
"236","Broadway & W 51 St","40.76228826","-73.98336183","Broadway & W 51 St"
"237","FDR Drive & E 35 St","40.744219","-73.97121214","FDR Drive & E 35 St"
"238","Henry St & Grand St","40.714215","-73.981346","Henry St & Grand St"
"239","E 20 St & Park Ave","40.73827428","-73.98751968","E 20 St & Park Ave"
"240","1 Ave & E 16 St","40.73221853","-73.98165557","1 Ave & E 16 St"
"241","6 Ave & W 33 St","40.74901271","-73.98848395","6 Ave & W 33 St"
"242","E 25 St & 2 Ave","40.73912601","-73.97973776","E 25 St & 2 Ave"
"243","W 46 St & 11 Ave","40.76341379","-73.99667444","W 46 St & 11 Ave"
"244","9 Ave & W 22 St","40.7454973","-74.00197139","9 Ave & W 22 St"
"245","W 56 St & 10 Ave","40.768254","-73.988639","W 56 St & 10 Ave"
