"","name","Measure","geo_type_name","geo_entity_id","geo_entity_name","year_description","data_value"
"134","Ozone (O3)","Mean","CD",204,"Highbridge and Concourse (CD4)","Summer 2016",32.2
"135","Ozone (O3)","Mean","CD",205,"Fordham and University Heights (CD5)","Summer 2016",32.06
"136","Ozone (O3)","Mean","CD",206,"Belmont and East Tremont (CD6)","Summer 2016",32.5
"137","Ozone (O3)","Mean","CD",207,"Kingsbridge Heights and Bedford (CD7)","Summer 2016",32.46
"138","Ozone (O3)","Mean","CD",208,"Riverdale and Fieldston (CD8)","Summer 2016",32.52
"139","Ozone (O3)","Mean","CD",209,"Parkchester and Soundview (CD9)","Summer 2016",33.25
"140","Ozone (O3)","Mean","CD",210,"Throgs Neck and Co-op City (CD10)","Summer 2016",34
"141","Ozone (O3)","Mean","CD",211,"Morris Park and Bronxdale (CD11)","Summer 2016",33.21
"142","Ozone (O3)","Mean","CD",212,"Williamsbridge and Baychester (CD12)","Summer 2016",33.19
"143","Ozone (O3)","Mean","CD",301,"Greenpoint and Williamsburg (CD1)","Summer 2016",32.99
"144","Ozone (O3)","Mean","CD",302,"Fort Greene and Brooklyn Heights (CD2)","Summer 2016",31.63
"145","Ozone (O3)","Mean","CD",303,"Bedford Stuyvesant (CD3)","Summer 2016",32.55
"146","Ozone (O3)","Mean","CD",304,"Bushwick (CD4)","Summer 2016",33.47
"147","Ozone (O3)","Mean","CD",305,"East New York and Starrett City (CD5)","Summer 2016",34.57
"148","Ozone (O3)","Mean","CD",306,"Park Slope and Carroll Gardens (CD6)","Summer 2016",32.27
"149","Ozone (O3)","Mean","CD",307,"Sunset Park (CD7)","Summer 2016",33.19
"150","Ozone (O3)","Mean","CD",308,"Crown Heights and Prospect Heights (CD8)","Summer 2016",32.54
"151","Ozone (O3)","Mean","CD",309,"South Crown Heights and Lefferts Gardens (CD9)","Summer 2016",32.98
"152","Ozone (O3)","Mean","CD",310,"Bay Ridge and Dyker Heights (CD10)","Summer 2016",33.51
"153","Ozone (O3)","Mean","CD",311,"Bensonhurst (CD11)","Summer 2016",34.51
"154","Ozone (O3)","Mean","CD",312,"Borough Park (CD12)","Summer 2016",33.45
"155","Ozone (O3)","Mean","CD",313,"Coney Island (CD13)","Summer 2016",36.33
"156","Ozone (O3)","Mean","CD",314,"Flatbush and Midwood (CD14)","Summer 2016",33.56
"157","Ozone (O3)","Mean","CD",315,"Sheepshead Bay (CD15)","Summer 2016",35.37
"158","Ozone (O3)","Mean","CD",316,"Brownsville (CD16)","Summer 2016",33.74
"159","Ozone (O3)","Mean","CD",317,"East Flatbush (CD17)","Summer 2016",33.88
"160","Ozone (O3)","Mean","CD",318,"Flatlands and Canarsie (CD18)","Summer 2016",35.71
"161","Ozone (O3)","Mean","CD",401,"Long Island City and Astoria (CD1)","Summer 2016",33.44
"162","Ozone (O3)","Mean","CD",402,"Woodside and Sunnyside (CD2)","Summer 2016",33.37
"163","Ozone (O3)","Mean","CD",403,"Jackson Heights (CD3)","Summer 2016",32.97
"164","Ozone (O3)","Mean","CD",404,"Elmhurst and Corona (CD4)","Summer 2016",32.75
"165","Ozone (O3)","Mean","CD",405,"Ridgewood and Maspeth (CD5)","Summer 2016",33.76
"166","Ozone (O3)","Mean","CD",406,"Rego Park and Forest Hills (CD6)","Summer 2016",32.7
"167","Ozone (O3)","Mean","CD",407,"Flushing and Whitestone (CD7)","Summer 2016",33.48
"168","Ozone (O3)","Mean","CD",408,"Hillcrest and Fresh Meadows (CD8)","Summer 2016",32.98
"169","Ozone (O3)","Mean","CD",409,"Kew Gardens and Woodhaven (CD9)","Summer 2016",33.58
"170","Ozone (O3)","Mean","CD",410,"South Ozone Park and Howard Beach (CD10)","Summer 2016",34.86
"171","Ozone (O3)","Mean","CD",411,"Bayside and Little Neck (CD11)","Summer 2016",33.06
"172","Ozone (O3)","Mean","CD",412,"Jamaica and Hollis (CD12)","Summer 2016",34.03
"173","Ozone (O3)","Mean","CD",413,"Queens Village (CD13)","Summer 2016",34.43
"174","Ozone (O3)","Mean","CD",414,"Rockaway and Broad Channel (CD14)","Summer 2016",38.26
"175","Ozone (O3)","Mean","CD",501,"St. George and Stapleton (CD1)","Summer 2016",33.4
"176","Ozone (O3)","Mean","CD",502,"South Beach and Willowbrook (CD2)","Summer 2016",35.11
"177","Ozone (O3)","Mean","CD",503,"Tottenville and Great Kills (CD3)","Summer 2016",36.19
"178","Nitrogen Dioxide (NO2)","Mean","CD",101,"Financial District (CD1)","Annual Average 2016",26.27
"179","Nitrogen Dioxide (NO2)","Mean","CD",102,"Greenwich Village and Soho (CD2)","Annual Average 2016",25.94
"180","Nitrogen Dioxide (NO2)","Mean","CD",103,"Lower East Side and Chinatown (CD3)","Annual Average 2016",24
"181","Nitrogen Dioxide (NO2)","Mean","CD",104,"Clinton and Chelsea (CD4)","Annual Average 2016",26.68
"182","Nitrogen Dioxide (NO2)","Mean","CD",105,"Midtown (CD5)","Annual Average 2016",31.64
"183","Nitrogen Dioxide (NO2)","Mean","CD",106,"Stuyvesant Town and Turtle Bay (CD6)","Annual Average 2016",28.4
"184","Nitrogen Dioxide (NO2)","Mean","CD",107,"Upper West Side (CD7)","Annual Average 2016",23.15
"185","Nitrogen Dioxide (NO2)","Mean","CD",108,"Upper East Side (CD8)","Annual Average 2016",24.91
"186","Nitrogen Dioxide (NO2)","Mean","CD",109,"Morningside Heights and Hamilton Heights (CD9)","Annual Average 2016",22
"187","Nitrogen Dioxide (NO2)","Mean","CD",110,"Central Harlem (CD10)","Annual Average 2016",22.27
"188","Nitrogen Dioxide (NO2)","Mean","CD",111,"East Harlem (CD11)","Annual Average 2016",22.09
"189","Nitrogen Dioxide (NO2)","Mean","CD",112,"Washington Heights and Inwood (CD12)","Annual Average 2016",19.36
"190","Nitrogen Dioxide (NO2)","Mean","CD",201,"Mott Haven and Melrose (CD1)","Annual Average 2016",20.84
"191","Nitrogen Dioxide (NO2)","Mean","CD",202,"Hunts Point and Longwood (CD2)","Annual Average 2016",19.79
"192","Nitrogen Dioxide (NO2)","Mean","CD",203,"Morrisania and Crotona (CD3)","Annual Average 2016",20.07
"193","Nitrogen Dioxide (NO2)","Mean","CD",204,"Highbridge and Concourse (CD4)","Annual Average 2016",21.21
"194","Nitrogen Dioxide (NO2)","Mean","CD",205,"Fordham and University Heights (CD5)","Annual Average 2016",21.18
"195","Nitrogen Dioxide (NO2)","Mean","CD",206,"Belmont and East Tremont (CD6)","Annual Average 2016",19.86
"196","Nitrogen Dioxide (NO2)","Mean","CD",207,"Kingsbridge Heights and Bedford (CD7)","Annual Average 2016",19.15
"197","Nitrogen Dioxide (NO2)","Mean","CD",208,"Riverdale and Fieldston (CD8)","Annual Average 2016",16.04
"198","Nitrogen Dioxide (NO2)","Mean","CD",209,"Parkchester and Soundview (CD9)","Annual Average 2016",18.81
"199","Nitrogen Dioxide (NO2)","Mean","CD",210,"Throgs Neck and Co-op City (CD10)","Annual Average 2016",17.23
"200","Nitrogen Dioxide (NO2)","Mean","CD",211,"Morris Park and Bronxdale (CD11)","Annual Average 2016",17.91
"201","Nitrogen Dioxide (NO2)","Mean","CD",212,"Williamsbridge and Baychester (CD12)","Annual Average 2016",16.93
"202","Nitrogen Dioxide (NO2)","Mean","CD",301,"Greenpoint and Williamsburg (CD1)","Annual Average 2016",21.38
"203","Nitrogen Dioxide (NO2)","Mean","CD",302,"Fort Greene and Brooklyn Heights (CD2)","Annual Average 2016",22.16
"204","Nitrogen Dioxide (NO2)","Mean","CD",303,"Bedford Stuyvesant (CD3)","Annual Average 2016",20.79
"205","Nitrogen Dioxide (NO2)","Mean","CD",304,"Bushwick (CD4)","Annual Average 2016",19.82
"206","Nitrogen Dioxide (NO2)","Mean","CD",305,"East New York and Starrett City (CD5)","Annual Average 2016",17.83
"207","Nitrogen Dioxide (NO2)","Mean","CD",306,"Park Slope and Carroll Gardens (CD6)","Annual Average 2016",21.17
"208","Nitrogen Dioxide (NO2)","Mean","CD",307,"Sunset Park (CD7)","Annual Average 2016",19.44
"209","Nitrogen Dioxide (NO2)","Mean","CD",308,"Crown Heights and Prospect Heights (CD8)","Annual Average 2016",20.74
"210","Nitrogen Dioxide (NO2)","Mean","CD",309,"South Crown Heights and Lefferts Gardens (CD9)","Annual Average 2016",20.11
"211","Nitrogen Dioxide (NO2)","Mean","CD",310,"Bay Ridge and Dyker Heights (CD10)","Annual Average 2016",18.54
"212","Nitrogen Dioxide (NO2)","Mean","CD",311,"Bensonhurst (CD11)","Annual Average 2016",18.05
"213","Nitrogen Dioxide (NO2)","Mean","CD",312,"Borough Park (CD12)","Annual Average 2016",19.12
"214","Nitrogen Dioxide (NO2)","Mean","CD",313,"Coney Island (CD13)","Annual Average 2016",14.64
"215","Nitrogen Dioxide (NO2)","Mean","CD",314,"Flatbush and Midwood (CD14)","Annual Average 2016",18.29
"216","Nitrogen Dioxide (NO2)","Mean","CD",315,"Sheepshead Bay (CD15)","Annual Average 2016",15.91
"217","Nitrogen Dioxide (NO2)","Mean","CD",316,"Brownsville (CD16)","Annual Average 2016",19.29
"218","Nitrogen Dioxide (NO2)","Mean","CD",317,"East Flatbush (CD17)","Annual Average 2016",18.94
"219","Nitrogen Dioxide (NO2)","Mean","CD",318,"Flatlands and Canarsie (CD18)","Annual Average 2016",15.36
"220","Nitrogen Dioxide (NO2)","Mean","CD",401,"Long Island City and Astoria (CD1)","Annual Average 2016",20.07
"221","Nitrogen Dioxide (NO2)","Mean","CD",402,"Woodside and Sunnyside (CD2)","Annual Average 2016",20.79
"222","Nitrogen Dioxide (NO2)","Mean","CD",403,"Jackson Heights (CD3)","Annual Average 2016",20.32
"223","Nitrogen Dioxide (NO2)","Mean","CD",404,"Elmhurst and Corona (CD4)","Annual Average 2016",21.21
"224","Nitrogen Dioxide (NO2)","Mean","CD",405,"Ridgewood and Maspeth (CD5)","Annual Average 2016",18.83
"225","Nitrogen Dioxide (NO2)","Mean","CD",406,"Rego Park and Forest Hills (CD6)","Annual Average 2016",19.31
"226","Nitrogen Dioxide (NO2)","Mean","CD",407,"Flushing and Whitestone (CD7)","Annual Average 2016",18.2
"227","Nitrogen Dioxide (NO2)","Mean","CD",408,"Hillcrest and Fresh Meadows (CD8)","Annual Average 2016",17.63
"228","Nitrogen Dioxide (NO2)","Mean","CD",409,"Kew Gardens and Woodhaven (CD9)","Annual Average 2016",18.69
"229","Nitrogen Dioxide (NO2)","Mean","CD",410,"South Ozone Park and Howard Beach (CD10)","Annual Average 2016",17.21
"230","Nitrogen Dioxide (NO2)","Mean","CD",411,"Bayside and Little Neck (CD11)","Annual Average 2016",16.78
"231","Nitrogen Dioxide (NO2)","Mean","CD",412,"Jamaica and Hollis (CD12)","Annual Average 2016",17.63
"232","Nitrogen Dioxide (NO2)","Mean","CD",413,"Queens Village (CD13)","Annual Average 2016",16.21
"233","Nitrogen Dioxide (NO2)","Mean","CD",414,"Rockaway and Broad Channel (CD14)","Annual Average 2016",11.6
"234","Nitrogen Dioxide (NO2)","Mean","CD",501,"St. George and Stapleton (CD1)","Annual Average 2016",16.86
"235","Nitrogen Dioxide (NO2)","Mean","CD",502,"South Beach and Willowbrook (CD2)","Annual Average 2016",13.36
"236","Nitrogen Dioxide (NO2)","Mean","CD",503,"Tottenville and Great Kills (CD3)","Annual Average 2016",11.44
"237","Nitric Oxide (NO)","Mean","CD",101,"Financial District (CD1)","Annual Average 2016",25.8
"238","Nitric Oxide (NO)","Mean","CD",102,"Greenwich Village and Soho (CD2)","Annual Average 2016",32.85
"239","Nitric Oxide (NO)","Mean","CD",103,"Lower East Side and Chinatown (CD3)","Annual Average 2016",27
